Chapter,Link,Filename
"1 Picturing high dimensions	",<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/1-intro.R'> 1-intro.R </a>,1-intro.R
"2 Technical details	",<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/2-notation.R'> 2-notation.R </a>,2-notation.R
3 Dimension reduction overview,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/3-overview-dimred.R'> 3-overview-dimred.R </a>,3-overview-dimred.R
4 Principal component analysis,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/4-pca.R'> 4-pca.R </a>,4-pca.R
5 Non-linear dimension reduction,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/5-nldr.R'> 5-nldr.R </a>,5-nldr.R
6 Introduction to clustering,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/6-overview-clust.R'> 6-overview-clust.R </a>,6-overview-clust.R
7 Spin-and-brush approach,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/7-spin-and-brush.R'> 7-spin-and-brush.R </a>,7-spin-and-brush.R
8 Hierarchical clustering,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/8-hierarchical.R'> 8-hierarchical.R </a>,8-hierarchical.R
9 k-means clustering,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/9-kmeans.R'> 9-kmeans.R </a>,9-kmeans.R
10 Model-based clustering,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/10-model-based.R'> 10-model-based.R </a>,10-model-based.R
11 Self-organizing maps,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/11-som.R'> 11-som.R </a>,11-som.R
12 Summarising and comparing clustering results,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/12-summary-clust.R'> 12-summary-clust.R </a>,12-summary-clust.R
13 Introduction to supervised classification,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/13-intro-class.R'> 13-intro-class.R </a>,13-intro-class.R
14 Linear discriminant analysis,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/14-lda.R'> 14-lda.R </a>,14-lda.R 
15 Trees and forests,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/15-forests.R'> 15-forests.R </a>,15-forests.R
16 Support vector machines,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/16-svm.R'> 16-svm.R </a>,16-svm.R
17 Neural networks and deep learning,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/17-nn.R'> 17-nn.R </a>,17-nn.R
18 Diagnostics for classification models,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/18-summary-class.R'> 18-summary-class.R </a>,18-summary-class.R
A Toolbox,<a href='https://raw.githubusercontent.com/dicook/mulgar_book/refs/heads/master/code/A-toolbox.R'> A-toolbox.R </a>,A-toolbox.R
