Name,Description,Source,Analysis,Other Notes
pdfsense,"Physics model fits analysed in  Cook, Laa, Valencia (2018)",https://metapdf.hepforge.org/PDFSense/,"clustering, classification",
pedestrian,Melbourne pedestrian counts,rwalkr,"clustering, classification, time series","It could be turned into a multivariate time series with the addition of weather information, or creating features."
mouseretina,Single cell RNA-seq data from Macosko et al.,Bioconductor::scRNASeq,"dimension reduction, clustering","Used in the liminal paper, <br>one concern is that there a lot of nuances to processing the data that might need to be explained. An updated version of the arabidopsis expression data from 1e."
pisa,OECD programme for international student assessment data,learningtower,"dimension reduction, regression",
sketches,Google's Quickdraw data,https://quickdraw.withgoogle.com/,"neural networks, classification",
mosquitos,"An audio ""civic science"" dataset containing wingbeat frequencies for classifying mosquito species",,,
melbhouseprices,Melbourne housing prices ,kaggle,regression,
books,Features of common books,tidytext,"clustering, dimension reduction",
wages,,yowie,,
bushfires,Multivariate spatio-temporal data for locations of bushfires,spotoroo,"clustering, classification with RF",
clusterchallenge,Simulated data used to show various cluster examples,liminal,clustering,
duolingo,Learning traces for duolingo users,https://github.com/duolingo/halflife-regression,"regression, forests",CCBY
harps,Chemical abundances from HARPS-GTO stellar survey,https://www.aanda.org/articles/aa/full_html/2018/11/aa33099-18/aa33099-18.html,"clustering, dimension reduction",
aflw,Player statistics from the AFLW,cassowaryr,"clustering, dimension reduction",
plastics,Plastic pollution from different companies and countries 2019-2020,https://github.com/rfordatascience/tidytuesday/blob/master/data/2021/2021-01-26/readme.md,"transformation, missing values, outliers",
